#,QUESTIONS,CORRECT,INCORRECT,,,
1,What is the chamber music for strings set work?,1st movement from the String Quartet in G Major K.387 'Spring',1st movement from the String Quartet in G Major K.378 'Summer',1st movement from the String Quintet in G Major K.387 'Spring',1st movement from the String Quartet in G Minor K.378 'Autumn',
2,Who wrote the chamber music for strings set work?,Wolfgang Amadeus Mozart,Schubert,Bach,Beethoven,
3,What is the form of the Mozart first movement?,Sonata form,Binary form,Ternary form,Rondo form,
4,What is the instrumentation of the Mozart first movement?,"2 violins, 1 viola, 1 cello","1 violin, 1 viola, 1 cello, 1 double bass","3 violins, 1 viola","2 violins, 2 violas",
5,How many movements are in the full piece of the Mozart?,Four,Three,Five,Ten,
6,What key is the first movement in for the Mozart first movement?,G major,D major,G minor,C major,
7,Briefly describe the phrasing in the Mozart first movement.,"The phrases are short and balanced (andecedent and consequent, or question and answer)",The phrases are long and smooth. Each phrase brings in a new idea.,The phrases are unbalanced.,"The phrasing varies greatly, so there is no real way to define it.",
8,Which of the following is NOT a compositional technique found in the Mozart first movement?,Diatonic melodies,Recurring rhythmic motifs,Imitation,Chromaticism,
9,What is a string quartet?,A genre of chamber music written for four string instruments,A genre of Baroque music written for four string instruments,A subgenre of K-pop inspired by BTS written for four string instruments,A genre of Classical music written for four orchestral instruments,
10,What separates mid-eighteenth century string quartets from Baroque forms?,The lack of a basso continuo part,The lack of a second violin part,The featuring of Jungkook,Six movements in a quartet,
11,What kind of people did the string quartet appeal to?,Eighteenth-century upper classes,Eighteenth-century working classes,Nineteenth century upper classes,BTS fangirls,
12,The string quartet was a ready form of private entertainment for whom?,Wealthy individuals and families,Working-class individuals and families,Bangtan Sonyeondan,A large audience,
13,Why did composers manipulate conventions of string quartet form for their audiences?,"Because audiences for quartets (commonly upper classes) enjoyed musical literacy and were educated on the form, so manipulating conventions surprised and delighted them.",Because President Namjoon asked them to,"Because audiences for quartets (commonly upper and middle classes) enjoyed hearing the slight tweaks in convention, as it made it much more interesting for them to listen to.","Because audiences for quartets (commonly upper classes) did not enjoy hearing differences from convention, and the composers liked to annoy them.",
14,How many string quartets are in the complete set of the Mozart?,Six,Ten,Five,Four,24?
15,Who did Mozart dedicate the set of string quartets to?,Haydn,Yoongi,Purcell,Bach,
16,Which of Haydn's quartets inspired Mozart to write his Haydn Quartets?,"Haydn's Op.33 set, which Mozart studied closely","Haydn's Op.44 set, which Mozart studied closely","Haydn's Op.22 set, which Mozart studied closely",Haydn's Op.55 set dedicated to Seokjin,
17,When did Haydn hear the quartets that Mozart dedicated to him?,1785,1995,1795,1775,
18,What did Haydn say to the father Leopold when he was visiting from Salzburg?,"""Before God, as an honest man, I tell you that your son is the greatest composer known to me either in person or by name. He has taste, and, what is more, the profound knowledge of composition.""","""BTS is the greatest band ever to form. Their music is wonderfully splendid and your son Wolfgang is quite a horrible composer compared to them.""","""I very much dislike the quartets that your son wrote in my name. They do not reflect my compositions at all. Rather, they are written much more in your son's style than mine.""","""Before God, as an honest man, your son will continue to be the great composer that he is and always has been. His quartets profoundly reflect mine with his own tasteful additions.""",
19,What is the Italian term used to indicate bowing on or near the bridge?,Sul ponticello,Pizzicato,Sul pontivÃ©lla,Bangtanio amazingo,
20,How many sections of violins are usually found in the symphony orchestra?,Two,Three,Four,One,
21,Which of the following is NOT a way the Mozart is typical of the time period?,Plays with formal conventions and expectations,Written in sonata form,Uses Classical chamber music compositional techniques,Development is in a related key,
22,What are the four movements of the complete Mozart?,"Fast movement, slow movement, minuet and trio, fast finale","Slow movement, minuet and trio, fast movement, fast finale",There are three movements,"Minuet and trio, slow movement, fast movement, moderate finale",
23,Which is one of the expressive possibilities that the string quartet presented composers with?,Greater subtleties than large-scale instrumental genres e.g. symphonies and concertos,"Increased possibilities for tonal complexity, compared to large-scale instrumental genres",Greater opportunities to feature J-Hope's rapping skills,"Less reliance on terrace dynamics, compared to solo works",
24,What is sonata form?,"A large-scale instrumental form consisting of three main sections: exposition, development and recapitulation.","A large-scale instrumental form consisting of three main sections: A, B, and A.",A large-scale instrumental form consisting of two main sections: A and B.,"A large-scale instrumental form consisting of indefinite sections, in the order of A, B, A, C, A, D, A, E, et cetera.",
25,Which of the following does the exposition NOT present?,Tierce de Picardie,Thematic material,Tonal contrast,Modulating from the tonic to a related key (usually the dominant if the orgiinal key is major or the relative major if the original key is minor),
26,Which of the following was NOT a composer of string quartets?,John Dowland,Carl Dittersdorf,Ludwig van Beethoven,Johann Wanhal,
27,Mozart - What key does the piece modulate to for the development and what its relationship to the tonic key?,"D major, dominant","D major, subdominant","E major, dominant","B minor, relative minor",
28,Mozart - Which of the following is NOT part of the job of the development section?,Repeat most of the exposition,Modulate through a range of keys,Eventually go back to the tonic,"""Work over"" motifs and thematic material of the exposition e.g. through sequenes and dominant harmony.",
29,Mozart - Which of the following is used in the B section (minor)?,Augmented chords,Diatonic melody,Slower tempo (langsam),Modulation,
30,Mozart - What does the 'K' in K. 387 mean?,The catalogue of Mozart's works made by Ludwig von Kochel,The catalogue of Mozart's works made by Kai Huening,The catalogue of Baroque works made by Ludwig von Kochel,The catalogue of all classical works made by Ludwig von Kochel,
31,Mozart - What does the '387' in K. 387 mean?,"It is his 387th work, ordering chronologically",It is his 87th work in his 3rd decade,"It is his 387th work, ordering alphabetically","It is his 378th work, ordering chronologically",
32,What does the term Allegro vivace assai mean?,Fast and very lively,Very fast and very lively,Very fast,Brisk and lively,
33,What is the lieder set work?,Fruhlingstraum from Winterreise D. 911 by Schubert,Fruhlingstraum from Summerreise D.911 by Schubert,Winterstraum from Fruhlingrreise D.911 by Schubert,We Are Bulletproof : The Eternal by BTS (highly recommend),
34,What does Fruhlingstraum mean?,Dream of spring,Dream of summer,Spring Day,Dream of flowers,
35,What does Winterreise mean?,Winter's journey,No More Dream,Cold journey,Lonely journey,
36,How many songs are in Winterreise and which number is Fruhlingstraum? (Respective),"24, 11","14, 11","34, 22","24, 23",
37,What was a domestic factor in the development of the Romantic Lied?,The growing availability and popularity of the piano and its presence in homes across a range of social classes.,The growing popularity of singing and availability of good teachers across a range of social classes.,"People's daughters transforming into ARMY fangirls, which led to composers panicking and introducing Romantic Lied.",The decreasing popularity of Classical Lied among citizens which led composers to introduce Romantic Lied.,
38,What was a factor in the development of Lied originally thought of by philosopher Johann Gottfried Herder?,"That language could unify all social classes, which sparked interest in lower classes.","That BTS would top the charts, so composers hurried to retain people's interest","That music could unify all social classes, which sparked interest in lower classes.","That language could only be appreciated by upper classes, which sparked an uprising in the lower classes.",
39,Why did composers begin to focus on the piano accompaniment of Lieder?,They realised the potential it had to support the text in a range of expressive ways.,They realised that it had previously had too great a role.,They realised that BTS was too good at singing so they had to divert their attention to where they were not yet beaten.,"Their audiences were becoming dissatisfied with the piano part, so the composers had to adapt.",
40,What is a song cycle?,A unified collection of songs written to be performed in sequence.,A collection of songs written to be performed in a sequence of the performer's choice.,A song with eleven unified parts to be performed in sequence. ,A loop of the top ten BTS songs that plays ten times.,
41,When was Winterreise composed?,1828,1838,1848,1997,
42,Who wrote the poem Schubert set in Fruhlingstraum?,Wilhelm Muller,Suga,Wilfred Muller,Johann Wolfgang von Goethe,
43,Schubert - What is a recurring idea in the text?,The contrast between dreams and reality,The personalities of BTS members,The contrast between love and loneliness,The similarities between the narrator's past life and his dreams,
44,Which of the following is NOT a means through which composers unify song cycles?,The songs are in the same time and key.,The songs are linked by explicit recollection of musical motifs between certain songs.,There is often an implicit narrative thread.,The songs are presented as musically independent numbers and the relationship is more implicit.,
45,How does the changing music of Fruhlingstraum reflect its text?,"The 'happier' sections are symbolic of warmth and dreams, while the 'sadder' sections are symbolic of coldness and reality.","The slower sections are reflective of reminiscing dreams, while the faster sections reflect the poet's haste to focus on reality.","The happier sections symbolise Schubert's love for Kpop, while the sadder sections convey Schubert's distaste for antis.","The minor sections reflect the poet's old and harsh life, while the major sections reflect the great new life he has found.",
46,What is the main subject matter of Winterreise?,"A poet who realises his destiny to always wander in solitude and perhaps never know love, companionship and rest.",A poet who must journey the world forever in search of something that does not exist.,"The hardships endured by BTS, which make international ARMYs sad because they can't help their oppas in Korea ðŸ˜¢",A wandering shepherd who is lost and cannot find his way home to his loved ones.,
47,Comment on how Schubert treats the piano accompaniment in Fruhlingstraum.,It imitates not only concrete imagery but evokes a feeling far more powerful than the text could.,It creates implicit imagery and imitates the feeling created by the text,It is barely heard as Schubert intended for the voice to be the prominent part.,"It is the prominent part, bringing out the main imagery and themes in the piece.",
48,How has Schubert set the six stanzas of poetry used in Fruhlingstraum?,ABCABC,ABBCBB,AABCCB,ABACAA,
49,How is the music in Fruhlingstraum used to assist the story in Section A?,"Section A adopts a direct, folk song-like style with the help of the siciliana pattern which is associated with pastoral themes. The piano consists of gently rolling chords.","Section A adopts a direct, folk-like style with the help of the melisma pattern, associated with beautiful and floral themes","Section A adopts a direct, folk song-like style with the help of the napolitana pattern which is associated with pastoral themes. The piano consists of gently rolling chords.","Section A adopts a direct, folk song-like style with the help of the florentine pattern which is associated with pastoral themes. The piano consists of gently rolling chords.",
50,How is the music in Fruhlingstraum used to assist the story in Section B?,"The tempo increases and the mode switches to minor. The piano consists of short, sharp block chords. ","The tempo decreases and the mode switches to minor. The piano consists of sharp, chromatic chords.",The tempo increases and the mode switches to minor. The piano consists of harsh and fast rolling chords.,The tempo increases and the mode switches to minor. The piano consists of gentle block chords.,
51,How many lieder did Schubert write?,Over 600,Over 60,Over 6000,Over 2013,
52,Schubert - What are the metric qualities of the verse?,It is written in iambic trimeter (unstressed-stressed-unstressed),It is written in iambic pentameter (unstressed-stressed),It is written in iambic pentameter (stressed-unstressed),It is written in iambic trimeter (stressed-unstressed-stressed),
53,How is the structure of Fruhlingstraum effective as a narrative?,Quatrains A are about the poet's dreams. Quatrains B are about his sudden awakening to reality. Quatrains C evoke the poet's yearning to return to his dreams.,Quatrains A are about reality. Quatrains B are about his unpleasant dreams. Quatrains C evoe the poet's yearning to return to reality.,Quatrains A are about the poet's dreams. Quatrains B are about his sudden awakening to reality. Quatrains C evoke the poet's haste to flee his dreams.,Quatrains A are about the poet's ,
54,Which of the following does Schubert NOT use to effectively contrast the three ideas in Fruhlingstraum?,Changes of instrumentation and texture,Changes of style,Changes of modality and key,Changes of tempo and meter,
55,What is the role of the piano in Lieder?,It is an accompaniment of equal prominence to the text that supports the ideas and feelings of the text in expressive ways.,"It is the prominent part, overpowering the text and expressively creating the main feelings and ideas.","It is an accompaniment of less importance than the text that has little musical value, occasionally chipping in.",It is a part of equal prominence to the voice and it introduces all the themes while the voice supports the ideas and feelings.,
56,Schubert - What does the siciliana pattern found in the 4-bar introduction NOT present?,Images of mountainous landscapes,Pastoral themes,Images of nature,Folk-like musical 'image' to the audience,
57,Schubert - What is the intention of the iambic trimeter used in the text?,To promote a folk-like simplicity and 'artlessness' to the text,To demote a folk-like simplicity and 'artlessness' to the text,To promote a delicacy and 'artfulness' to the text,To promote images of sophistication for the audience,
58,Schubert - What is the final foot in the first line of each pair?,An amphibrach,An iamb,A reptibrach,A trimeter,A nudibranch
59,Schubert - Do the main points of stress remain constant in the text?,Yes,No,Yes except for one instance,Only for one instance,
60,What is a melisma?,A group of notes sung to one syllable,"A kind of rhythm associated with folkish, pastoral themes",A term used to describe singing one note per syllable,A pair of notes sung to one syllable,
61,Schubert - How is the setting of the text?,Typical of Lied: it is mostly syllabic and the rare melismas occupy no more than 2 notes,Typical of Lied: it is rarely syllabic and melismas are found abundantly,Untypical of Lied: it is rarely syllabic and almost every syllable is a melisma,Typical of Lied: it is all syllabic.,
62,Schubert - Which of the following is not represented by the major sections?,Wealth,Dreaming,Spring/warmth,Love,
63,Schubert - Which of the following is not represented by the minor sections?,Poverty,Reality,Winter/coldness,Loneliness,
64,Schubert - How is the material written?,Almost completely diatonic without modulation,Almost completely chromatic with much modulation,Almost completely diatonic with much modulation,Very well ,
65,Schubert - How does the piano foreshadow the singer's line?,In the four-bar introduction by playing the melody in RH,In the four-bar introduction by playing the melody in LH,In the eight-bar introduction by playing the melody in RH,In the ten-bar introduction by playing the melody in RH,
66,Schubert - What is/are the predominant key(s) of the song?,F major and F minor,E flat major and E flat minor,G major and G minor,D major and D minor,
67,Schubert - Which of the following keys are not used as [at least] brief modulations?,D minor,C minor,B flat major,E flat minor,
68,"Schubert - What does the ""D"" in D.911 mean?",The catalogue of Schubert's works made by Otto Deutsch,A form of cataloguing created by Ottoman Deutsch,Dani :)),The catalogue of Schubert's works made by Otto Dutch,
69,"Schubert - What does the ""911"" in D.911 mean?","It is his 911th work, ordering chronologically",Jet Fuel conspiracy theories.,It is his 911th individual song/piece,"It is his 911th work, ordering alphabetically",
70,What does Schnell mean?,Fast,Slow,Very fast,Not too fast,
71,What does Etwas bewegt mean?,With some movement,With much movement,With very little movement,With no movement,
72,What does Langsam mean?,Slow,Fast,Not too slow,Very slow,
73,Schubert - What keys were the song originally written in?,A major and A minor,F major and F minor,G major and G minor,E flat major and E flat minor,
74,Schubert - Why was the song transposed?,To suit a lower voice,To suit a higher voice,Because they felt like it,So it was more accessible to all voices,
75,Schubert - What is the meter of Stanzas A?,06-Aug,02-Apr,03-Aug,03-Apr,
76,Schubert - What is the meter of Stanzas B?,06-Aug,02-Apr,03-Aug,03-Apr,
77,Schubert - What is the meter of Stanzas C?,02-Apr,06-Aug,03-Aug,03-Apr,
78,Schubert - What is the key of Stanzas A?,F major,F minor,E flat major,G major,
79,Schubert - What is the key of Stanzas B?,F minor,F major,E flat minor,E flat major,
80,Schubert - What is the key of Stanzas C?,F major - F minor,E flat major - E flat minor,G major - G minor,,
81,Schubert - Describe the harmony of Stanzas A.,"Settled, diatonic, often using the tonic chord","Unsettled, chromatic, frequent key changes",Sometimes irresolute (questioning),"Settled, diatonic, rarely using the tonic chord",
82,Schubert - Describe the melodic style of Stanzas A.,"Flowing and carefree, often using the siciliana rhythm, with some rising leaps","Agitated repeated notes, rising semitones, wide leaps (mostly descending)","Simple (mostly quavers, narrow pitch range) then sad (minor key, wider pitch range)","Flowing and carefree, often using melismas, with few leaps",
83,Schubert - Describe the accompaniment of Stanzas A.,Flowing broken chords in continuous triplet rhythm,Arpeggiated chords,Throbbing chords and broken octaves,Flowing block chords in continuous triplet rhythm,
84,How is Schubert's type of strophic form different from simple strophic form?,"Schubert uses the same music for each group of stanzas (1&4, 2&5, 3&6) rather than for every stanza",Schubert uses different music for each stanza,"Schubert uses the same music for each group of stanzas (1&2, 3&4, 5&6) rather than for every stanza","Schubert uses the same music for each group of stanzas (1&2&3, 4&5&6) rather than for every stanza",
85,Schubert - Describe the harmony of Stanzas B.,"Unsettled, chromatic, frequent key changes","Settled, diatonic, often using the tonic chord",Sometimes irresolute (questioning),"Unsettled, chromatic, infrequent key changes",
86,Schubert - Describe the melodic style of Stanzas B.,"Agitated repeated notes, rising semitones, wide leaps (mostly descending)","Flowing and carefree, often using the siciliana rhythm, with some rising leaps","Simple (mostly quavers, narrow pitch range) then sad (minor key, wider pitch range)","Agitated repeated notes, rising semitones, narrow leaps (mostly descending)",
87,Schubert - Describe the accompaniment of Stanzas B.,Throbbing chords and broken octaves,Arpeggiated chords,Flowing broken chords in continuous triplet rhythm,Detached block chords and octaves,
88,Schubert - Describe the harmony of Stanzas C.,Sometimes irresolute (questioning),"Settled, diatonic, often using the tonic chord","Unsettled, chromatic, frequent key changes",Very resolute and unquestioning,
89,Schubert - Describe the melodic style of Stanzas C.,"Simple (mostly quavers, narrow pitch range) then sad (minor key, wider pitch range)","Agitated repeated notes, rising semitones, wide leaps (mostly descending)","Flowing and carefree, often using the siciliana rhythm, with some rising leaps","Sad (minor key, narrow pitch range) then simple (mostly quavers, wider pitch range)",
90,Schubert - Describe the accompaniment of Stanzas C.,Arpeggiated chords,Flowing broken chords in continuous triplet rhythm,Throbbing chords and broken octaves,Block chords,
91,What is the art song set work?,O Mistress Mine from Let Us Garlands Bring Op.18 ,O Mistress Mine from Garlands Let Us Take Op.81 ,"Airplane, Pt.2 by BTS (highly recommend)",O Mistress Mine from Let Us Bring Garlands Op.28 ,
92,Who wrote the text of Let Us Garlands Bring?,Shakespeare,Hitman Bang,Milton,Coleridge,
93,How many separate texts does Let Us Garlands Bring set?,Five,Thirteen,Eight,Eleven,
94,Which of the following was NOT a composer of art song?,[lieder composer],Ralph Vaughan Williams,John Ireland,Arnold Bax,
95,What is O Mistress Mine about?,It is a light-hearted reflection on love and youth.,It is a deep reflection on love and the mortality of youth.,It is a light-hearted reflection on being grateful for little things.,It is about waiting for 00:00 when the day will be over,
96,What was the 'English musical Renaissance'?,"The period in which England freed themselves from foreign musical influences, to have begun writing in a distinctively national manner",The period in which England freed themselves from old national English music and changed their style.,"The period in which English composers competed against BTS as to who could write better songs, and BTS won.",The period in which England was overwhelmed by foreign musical influences and lost their national musical style.,
97,Who wrote the art song set work?,Gerald Finzi,Franz Schubert,George Friedric Handel,Rapmon,
98,What is the rhyme scheme of each sextain in Let Us Garlands Bring?,AABCCB,ABACDC,AAABBB,ABBCBB,
99,Finzi - How are the modulations in the piece used to reflect the ideas in the text?,"The piece is bouncy as the poet addresses the object of his affection, and becomes more reflective as the poet addresses the need to be joyful while still young.","The song is determined as the idea of surviving one more day is expressed, and is temporarily taken back a notch as though building up energy to explode. ","The piece is more reflective as the poet addresses the object of his affection, and becomes bouncy as the poet addresses the need to be joyful while still young.","The piece is slow and melancholy as the poet addresses the once-was object of his affection, and becomes reflective as he addresses the need to be joyful while still young.",
100,Finzi - What does the text consist of?,Two six-line stanzas or sextains,Three six-line stanzas or sextains,Six four-line stanzas or quatrains,Hobicore vibes,
101,What is the role of the piano in O Mistress Mine?,It ,It accompanies the vocal part,It is accompanied by the vocal part,,
102,Which play is the text of Let Us Garlands Bring from?,Twelfth Night by Shakespeare,Twelfth Day by Shakespeare,Ninth Night by Shakespeare,Life Goes On by BTS,
103,Finzi - How is the vocal line?,Simple and direct,Extravagant and indirect,Excessively simple,Straightfoward and monotonous,
104,Finzi - How is the text set?,Syllabic and has a natural rhythm close to the declamation of the words.,Melismatic and has a rhythm not very close to the declamation of the words.,Melismatic but has a natural rhythm close to the declamation of the words.,Syllabic but has a rhythm not very close to the declamation of the words.,
105,How does Finzi emphasise the point of the text?,By using direct imitation between the voice and the piano at the final line of each stanza,By using direct imitation between the voice and the piano at the final line of the piece,By using direct imitation between the voice and the piano of motifs throughout the piece,By using direct imitation between the voice and the piano at the first line of each stanza,
106,Finzi - What key does the harmony shift to at the final line of each stanza?,The parallel minor,The dominant,The relative minor,The parallel major,
107,Finzi - What is the form of the song?,Semi-strophic,Modified strophic,Simple strophic,Binary,
108,Finzi - What are the stanzas framed by?,"A piano inroduction, interlude and postlude","A piano introduction, interlude and voice+piano postlude","A voice+piano introduction, interlude and postlude","A voice introduction, voice+piano interlude, voice postlude",
109,Finzi - What key is the piece in?,E flat major,A flat major,E major,F major,
110,What key does O Mistress Mine modulate to?,It does not modulate,C minor,The parallel minor,G minor,
111,Finzi - How is the melody written?,Mostly diatonic except for the end of each stanza where a modal mixture is introduced,Mostly chromatic except for the end of each stanza where it becomes diatonic,All diatonic,Mostly diatonic except for the end of the piece where a modal mixture is introduced,
112,Finzi - What is the mood of the piece?,Light-hearted and jaunty but becomes more reflective as modal mixture is introduced,Reflective but becomes more light-hearted and jaunty as modal mixture is introduced,Light-hearted and jaunty,Reflective,
113,Which syllables does Finzi ensure land on the first beat of the bar?,Stressed,Unstressed,Both,jUst rAndOm syLLaBLeS,
114,Finzi - Where are the only instances of direct imitation found?,At the end of each stanza between the voice and the piano,At the beginning of each stanza between the voice and the piano,There are no instances of direct imitation in the piece,At the end of the piece between the voice and the piano,
115,Finzi - Describe the texture of the accompaniment at the end of the each stanza.,"Legato articulation and longer note values, slower pace, and dramatic contrast of dynamics.","Staccato articulation and shorter note values, faster pace, no contrast of dynamics.","Legato articulation and longer note values, slower pace, less contrast of dynamics.","Legato articulation and shorter note values, slower pace and dramatic contrast of dynamics.",
116,Finzi - Describe the cadence at the end of each stanza?,It is joined with the commencement of the next piano section (interlude/postlude),It is separated from the next piano section (interlude/postlude),It is joined with the commencement of the next stanza,It is joined with a four-bar outro of sorts before the interlude/postlude commences,
117,Finzi - In what way is the piece flexible and natural?,The voice sets the text differently in each stanza while the accompaniment stays the same.,The accompaniment is different in each stanza while the voice stays the same.,"The voice sets the text differently in each stanza, just like the accompaniment.","The voice and accompaniment stay the same, but rubato and ornaments are used.",
118,"Generally, what is the role of the Piano in Art songs?",Shares prominence with the vocal part,Secondary to the vocal part,Ternary to the vocal part,Primary above the vocal part,Quaternary to the vocal part
119,Let us garlands bring is a set of how many songs?,Five,Thirteen,Eight,Eleven,
120,What does Allegretto amabile mean?,Moderately fast and pleasant,Not too fast and pleasant,Very fast and unpleasant,Walking pace and pleasant,
121,Finzi - Which of the following is NOT a stylistic characteristic of the song?,Use of raised 7th notes in minor keys,Some dissonance and occasional use of parallel 5ths to the bass,Irregular phrase lengths and syncopation and changes of meter,Angular melodies (at times),
122,What does sempre staccato mean?,Always detached,Never detached,The Ravenswood magazine,Very detached,
123,Finzi - What key is the piano part in?,E flat major,E flat minor,A major,A minor,
124,Which of the following techniques does Finzi NOT use in the song?,Chromatic harmony,Imitation,Counterpoint,Diatonic harmony,
125,What kind of techniques does Finzi deliberately use in the song?,Techniques associated with earlier music styles from Shakespeare's time,Techniques ahead of Finzi's time,Techniques associated with earlier styles such as Classical,Techniques associated with Kpop,
126,Finzi - What is the underlying message of the song?,To seize life's joys and pleasures while you can,To be yourself,To pursue your dreams,To listen to BTS,
127,Finzi - Which of the following is NOT part of the change in texture at the end of each stanza?,Faster,Broader,Denser,Slower,
128,Finzi - Who is the piece sung by?,"Feste, the jester in the court of Countess Olivia","Countess Olivia, to her jester, Feste","Feste, the brother of Countess Olivia","Feste, the father of Countess Olivia",
